"epoch","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - _step","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - _step__MIN","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - _step__MAX","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - Train/Accuracy","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - Train/Accuracy__MIN","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - Train/Accuracy__MAX","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - _step","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - _step__MIN","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - _step__MAX","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - Train/Accuracy","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - Train/Accuracy__MIN","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - Train/Accuracy__MAX","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - _step","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - _step__MIN","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - _step__MAX","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - Train/Accuracy","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - Train/Accuracy__MIN","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - Train/Accuracy__MAX"
"1","312","312","312","0.055424999445676804","0.055424999445676804","0.055424999445676804","312","312","312","0.03857499733567238","0.03857499733567238","0.03857499733567238","624","624","624","0.06347499787807465","0.06347499787807465","0.06347499787807465"
"2","626","626","626","0.11417499929666519","0.11417499929666519","0.11417499929666519","626","626","626","0.10142499953508377","0.10142499953508377","0.10142499953508377","1250","1250","1250","0.1281999945640564","0.1281999945640564","0.1281999945640564"
"3","940","940","940","0.15562500059604645","0.15562500059604645","0.15562500059604645","940","940","940","0.15015000104904175","0.15015000104904175","0.15015000104904175","1876","1876","1876","0.17880000174045563","0.17880000174045563","0.17880000174045563"
"4","1254","1254","1254","0.19589999318122864","0.19589999318122864","0.19589999318122864","1254","1254","1254","0.18962499499320984","0.18962499499320984","0.18962499499320984","2502","2502","2502","0.2211499959230423","0.2211499959230423","0.2211499959230423"
"5","1568","1568","1568","0.23102499544620514","0.23102499544620514","0.23102499544620514","1568","1568","1568","0.22394999861717224","0.22394999861717224","0.22394999861717224","3128","3128","3128","0.26144999265670776","0.26144999265670776","0.26144999265670776"
"6","1882","1882","1882","0.2692749798297882","0.2692749798297882","0.2692749798297882","1882","1882","1882","0.2517249882221222","0.2517249882221222","0.2517249882221222","3754","3754","3754","0.29600000381469727","0.29600000381469727","0.29600000381469727"
"7","2196","2196","2196","0.3095249831676483","0.3095249831676483","0.3095249831676483","2196","2196","2196","0.28395000100135803","0.28395000100135803","0.28395000100135803","4380","4380","4380","0.3321000039577484","0.3321000039577484","0.3321000039577484"
"8","2510","2510","2510","0.3342999815940857","0.3342999815940857","0.3342999815940857","2510","2510","2510","0.30640000104904175","0.30640000104904175","0.30640000104904175","5006","5006","5006","0.35807499289512634","0.35807499289512634","0.35807499289512634"
"9","2824","2824","2824","0.3656249940395355","0.3656249940395355","0.3656249940395355","2824","2824","2824","0.3307499885559082","0.3307499885559082","0.3307499885559082","5632","5632","5632","0.38792499899864197","0.38792499899864197","0.38792499899864197"
"10","3138","3138","3138","0.39352500438690186","0.39352500438690186","0.39352500438690186","3138","3138","3138","0.3574250042438507","0.3574250042438507","0.3574250042438507","6258","6258","6258","0.4129999876022339","0.4129999876022339","0.4129999876022339"
"11","3452","3452","3452","0.4068000018596649","0.4068000018596649","0.4068000018596649","3452","3452","3452","0.3797999918460846","0.3797999918460846","0.3797999918460846","6884","6884","6884","0.4371500015258789","0.4371500015258789","0.4371500015258789"
"12","3766","3766","3766","0.43687498569488525","0.43687498569488525","0.43687498569488525","3766","3766","3766","0.40507498383522034","0.40507498383522034","0.40507498383522034","7510","7510","7510","0.4592999815940857","0.4592999815940857","0.4592999815940857"
"13","4080","4080","4080","0.4570249915122986","0.4570249915122986","0.4570249915122986","4080","4080","4080","0.4206250011920929","0.4206250011920929","0.4206250011920929","8136","8136","8136","0.4744749963283539","0.4744749963283539","0.4744749963283539"
"14","4394","4394","4394","0.4749249815940857","0.4749249815940857","0.4749249815940857","4394","4394","4394","0.43860000371932983","0.43860000371932983","0.43860000371932983","8762","8762","8762","0.4995749890804291","0.4995749890804291","0.4995749890804291"
"15","4708","4708","4708","0.49252498149871826","0.49252498149871826","0.49252498149871826","4708","4708","4708","0.45944997668266296","0.45944997668266296","0.45944997668266296","9388","9388","9388","0.5169000029563904","0.5169000029563904","0.5169000029563904"
