"Step","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss__MIN","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss__MAX","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss__MIN","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss__MAX","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss__MIN","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss__MAX"
"0","4.63985538482666","4.63985538482666","4.63985538482666","4.651627540588379","4.651627540588379","4.651627540588379","4.6180267333984375","4.6180267333984375","4.6180267333984375"
"1","4.632881164550781","4.632881164550781","4.632881164550781","4.6220526695251465","4.6220526695251465","4.6220526695251465","4.654463291168213","4.654463291168213","4.654463291168213"
"2","4.749194145202637","4.749194145202637","4.749194145202637","4.637325286865234","4.637325286865234","4.637325286865234","4.6334686279296875","4.6334686279296875","4.6334686279296875"
"3","4.8050456047058105","4.8050456047058105","4.8050456047058105","4.624831199645996","4.624831199645996","4.624831199645996","4.686959743499756","4.686959743499756","4.686959743499756"
"4","5.0908427238464355","5.0908427238464355","5.0908427238464355","4.640199184417725","4.640199184417725","4.640199184417725","4.668410301208496","4.668410301208496","4.668410301208496"
"5","4.99592399597168","4.99592399597168","4.99592399597168","4.5893073081970215","4.5893073081970215","4.5893073081970215","4.665143013000488","4.665143013000488","4.665143013000488"
"6","4.961860656738281","4.961860656738281","4.961860656738281","4.615858554840088","4.615858554840088","4.615858554840088","4.661683559417725","4.661683559417725","4.661683559417725"
"7","5.0416154861450195","5.0416154861450195","5.0416154861450195","4.614709854125977","4.614709854125977","4.614709854125977","4.614446640014648","4.614446640014648","4.614446640014648"
"8","4.90670919418335","4.90670919418335","4.90670919418335","4.657191276550293","4.657191276550293","4.657191276550293","4.696085453033447","4.696085453033447","4.696085453033447"
"9","5.028613090515137","5.028613090515137","5.028613090515137","4.635096549987793","4.635096549987793","4.635096549987793","4.649232387542725","4.649232387542725","4.649232387542725"
"10","5.034192085266113","5.034192085266113","5.034192085266113","4.654018402099609","4.654018402099609","4.654018402099609","4.703457832336426","4.703457832336426","4.703457832336426"
"11","5.570865631103516","5.570865631103516","5.570865631103516","4.6336517333984375","4.6336517333984375","4.6336517333984375","4.761137008666992","4.761137008666992","4.761137008666992"
"12","5.343397617340088","5.343397617340088","5.343397617340088","4.6569366455078125","4.6569366455078125","4.6569366455078125","4.710960388183594","4.710960388183594","4.710960388183594"
"13","5.042403697967529","5.042403697967529","5.042403697967529","4.631486892700195","4.631486892700195","4.631486892700195","4.690731525421143","4.690731525421143","4.690731525421143"
"14","5.074391841888428","5.074391841888428","5.074391841888428","4.665068626403809","4.665068626403809","4.665068626403809","4.634983062744141","4.634983062744141","4.634983062744141"
"15","4.8401665687561035","4.8401665687561035","4.8401665687561035","4.656280040740967","4.656280040740967","4.656280040740967","4.6736741065979","4.6736741065979","4.6736741065979"
"16","5.478818893432617","5.478818893432617","5.478818893432617","4.650047779083252","4.650047779083252","4.650047779083252","4.723014831542969","4.723014831542969","4.723014831542969"
"17","5.4359660148620605","5.4359660148620605","5.4359660148620605","4.602326393127441","4.602326393127441","4.602326393127441","4.792540073394775","4.792540073394775","4.792540073394775"
"18","5.080171585083008","5.080171585083008","5.080171585083008","4.629251956939697","4.629251956939697","4.629251956939697","4.689081192016602","4.689081192016602","4.689081192016602"
"19","4.92527961730957","4.92527961730957","4.92527961730957","4.626116752624512","4.626116752624512","4.626116752624512","4.676867961883545","4.676867961883545","4.676867961883545"
"20","5.004300117492676","5.004300117492676","5.004300117492676","4.614065647125244","4.614065647125244","4.614065647125244","4.777249813079834","4.777249813079834","4.777249813079834"
"21","4.650979518890381","4.650979518890381","4.650979518890381","4.627581596374512","4.627581596374512","4.627581596374512","4.540469169616699","4.540469169616699","4.540469169616699"
"22","5.101886749267578","5.101886749267578","5.101886749267578","4.584300994873047","4.584300994873047","4.584300994873047","4.717292308807373","4.717292308807373","4.717292308807373"
"23","4.930510997772217","4.930510997772217","4.930510997772217","4.562614440917969","4.562614440917969","4.562614440917969","4.698049068450928","4.698049068450928","4.698049068450928"
"24","4.825956344604492","4.825956344604492","4.825956344604492","4.65371036529541","4.65371036529541","4.65371036529541","4.615530967712402","4.615530967712402","4.615530967712402"
"25","4.601071834564209","4.601071834564209","4.601071834564209","4.581450939178467","4.581450939178467","4.581450939178467","4.524693489074707","4.524693489074707","4.524693489074707"
"26","4.823660850524902","4.823660850524902","4.823660850524902","4.652763366699219","4.652763366699219","4.652763366699219","4.575535297393799","4.575535297393799","4.575535297393799"
"27","4.735318183898926","4.735318183898926","4.735318183898926","4.699232578277588","4.699232578277588","4.699232578277588","4.654903888702393","4.654903888702393","4.654903888702393"
"28","4.631836891174316","4.631836891174316","4.631836891174316","4.643842697143555","4.643842697143555","4.643842697143555","4.531660556793213","4.531660556793213","4.531660556793213"
"29","4.626754283905029","4.626754283905029","4.626754283905029","4.681868076324463","4.681868076324463","4.681868076324463","4.584179401397705","4.584179401397705","4.584179401397705"
"30","4.671077728271484","4.671077728271484","4.671077728271484","4.639228820800781","4.639228820800781","4.639228820800781","4.708249092102051","4.708249092102051","4.708249092102051"
"31","4.511765003204346","4.511765003204346","4.511765003204346","4.635559558868408","4.635559558868408","4.635559558868408","4.61725378036499","4.61725378036499","4.61725378036499"
"32","4.581664562225342","4.581664562225342","4.581664562225342","4.593774318695068","4.593774318695068","4.593774318695068","4.620931625366211","4.620931625366211","4.620931625366211"
"33","4.54493522644043","4.54493522644043","4.54493522644043","4.6651763916015625","4.6651763916015625","4.6651763916015625","4.576625347137451","4.576625347137451","4.576625347137451"
"34","4.553678035736084","4.553678035736084","4.553678035736084","4.612854480743408","4.612854480743408","4.612854480743408","4.587645053863525","4.587645053863525","4.587645053863525"
"35","4.499509811401367","4.499509811401367","4.499509811401367","4.643142223358154","4.643142223358154","4.643142223358154","4.577183723449707","4.577183723449707","4.577183723449707"
"36","4.539206027984619","4.539206027984619","4.539206027984619","4.582967281341553","4.582967281341553","4.582967281341553","4.7248029708862305","4.7248029708862305","4.7248029708862305"
"37","4.556366443634033","4.556366443634033","4.556366443634033","4.595952987670898","4.595952987670898","4.595952987670898","4.553396701812744","4.553396701812744","4.553396701812744"
"38","4.523435115814209","4.523435115814209","4.523435115814209","4.584536552429199","4.584536552429199","4.584536552429199","4.624462127685547","4.624462127685547","4.624462127685547"
"39","4.534554481506348","4.534554481506348","4.534554481506348","4.539670944213867","4.539670944213867","4.539670944213867","4.522162914276123","4.522162914276123","4.522162914276123"
"40","4.558279991149902","4.558279991149902","4.558279991149902","4.555788516998291","4.555788516998291","4.555788516998291","4.508054256439209","4.508054256439209","4.508054256439209"
"41","4.496227741241455","4.496227741241455","4.496227741241455","4.656832218170166","4.656832218170166","4.656832218170166","4.49945592880249","4.49945592880249","4.49945592880249"
"42","4.502340793609619","4.502340793609619","4.502340793609619","4.5573811531066895","4.5573811531066895","4.5573811531066895","4.6122894287109375","4.6122894287109375","4.6122894287109375"
"43","4.43669319152832","4.43669319152832","4.43669319152832","4.591985702514648","4.591985702514648","4.591985702514648","4.551703453063965","4.551703453063965","4.551703453063965"
"44","4.452561855316162","4.452561855316162","4.452561855316162","4.587855815887451","4.587855815887451","4.587855815887451","4.760716438293457","4.760716438293457","4.760716438293457"
"45","4.414058685302734","4.414058685302734","4.414058685302734","4.594320297241211","4.594320297241211","4.594320297241211","4.612645149230957","4.612645149230957","4.612645149230957"
"46","4.454845428466797","4.454845428466797","4.454845428466797","4.536088943481445","4.536088943481445","4.536088943481445","4.512187957763672","4.512187957763672","4.512187957763672"
"47","4.46627140045166","4.46627140045166","4.46627140045166","4.582888126373291","4.582888126373291","4.582888126373291","4.460214138031006","4.460214138031006","4.460214138031006"
"48","4.511126518249512","4.511126518249512","4.511126518249512","4.552143096923828","4.552143096923828","4.552143096923828","4.563883304595947","4.563883304595947","4.563883304595947"
"49","4.589010238647461","4.589010238647461","4.589010238647461","4.603448390960693","4.603448390960693","4.603448390960693","4.507315635681152","4.507315635681152","4.507315635681152"
"50","4.48183012008667","4.48183012008667","4.48183012008667","4.574854373931885","4.574854373931885","4.574854373931885","4.473783493041992","4.473783493041992","4.473783493041992"
"51","4.415099620819092","4.415099620819092","4.415099620819092","4.657978534698486","4.657978534698486","4.657978534698486","4.615038871765137","4.615038871765137","4.615038871765137"
"52","4.371405601501465","4.371405601501465","4.371405601501465","4.661384582519531","4.661384582519531","4.661384582519531","4.4734954833984375","4.4734954833984375","4.4734954833984375"
"53","4.471714496612549","4.471714496612549","4.471714496612549","4.595032215118408","4.595032215118408","4.595032215118408","4.502707481384277","4.502707481384277","4.502707481384277"
"54","4.330843925476074","4.330843925476074","4.330843925476074","4.5456929206848145","4.5456929206848145","4.5456929206848145","4.517098903656006","4.517098903656006","4.517098903656006"
"55","4.419624328613281","4.419624328613281","4.419624328613281","4.550581455230713","4.550581455230713","4.550581455230713","4.573901176452637","4.573901176452637","4.573901176452637"
"56","4.354090213775635","4.354090213775635","4.354090213775635","4.495880603790283","4.495880603790283","4.495880603790283","4.514909744262695","4.514909744262695","4.514909744262695"
"57","4.339916706085205","4.339916706085205","4.339916706085205","4.603534698486328","4.603534698486328","4.603534698486328","4.445291996002197","4.445291996002197","4.445291996002197"
"58","4.3806376457214355","4.3806376457214355","4.3806376457214355","4.584377288818359","4.584377288818359","4.584377288818359","4.399838924407959","4.399838924407959","4.399838924407959"
"59","4.462658405303955","4.462658405303955","4.462658405303955","4.551076889038086","4.551076889038086","4.551076889038086","4.569549083709717","4.569549083709717","4.569549083709717"
"60","4.234285831451416","4.234285831451416","4.234285831451416","4.607327461242676","4.607327461242676","4.607327461242676","4.492466449737549","4.492466449737549","4.492466449737549"
"61","4.333775043487549","4.333775043487549","4.333775043487549","4.5528564453125","4.5528564453125","4.5528564453125","4.361892223358154","4.361892223358154","4.361892223358154"
"62","4.419475555419922","4.419475555419922","4.419475555419922","4.524750709533691","4.524750709533691","4.524750709533691","4.483185768127441","4.483185768127441","4.483185768127441"
"63","4.327590465545654","4.327590465545654","4.327590465545654","4.557166576385498","4.557166576385498","4.557166576385498","4.424868583679199","4.424868583679199","4.424868583679199"
"64","4.307985782623291","4.307985782623291","4.307985782623291","4.539095401763916","4.539095401763916","4.539095401763916","4.364197254180908","4.364197254180908","4.364197254180908"
"65","4.1413068771362305","4.1413068771362305","4.1413068771362305","4.506020545959473","4.506020545959473","4.506020545959473","4.404587268829346","4.404587268829346","4.404587268829346"
"66","4.480381488800049","4.480381488800049","4.480381488800049","4.617887496948242","4.617887496948242","4.617887496948242","4.327936172485352","4.327936172485352","4.327936172485352"
"67","4.269155979156494","4.269155979156494","4.269155979156494","4.540921688079834","4.540921688079834","4.540921688079834","4.334753036499023","4.334753036499023","4.334753036499023"
"68","4.409636497497559","4.409636497497559","4.409636497497559","4.586781024932861","4.586781024932861","4.586781024932861","4.508882999420166","4.508882999420166","4.508882999420166"
