"epoch","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - _step","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - _step__MIN","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - _step__MAX","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - Train/loss","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - Train/loss__MIN","mobilenet_Task Learning Rate_0.2_Wednesday_19_March_2025_13h_35m_42s - Train/loss__MAX","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - _step","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - _step__MIN","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - _step__MAX","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - Train/loss","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - Train/loss__MIN","mobilenet_Task Learning Rate_0.01_Wednesday_19_March_2025_13h_35m_38s - Train/loss__MAX","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - _step","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - _step__MIN","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - _step__MAX","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - Train/loss","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - Train/loss__MIN","mobilenet_Task Learning Rate_0.05_Wednesday_19_March_2025_11h_03m_56s - Train/loss__MAX"
"1","155.5","0","311","4.189034514702284","3.637590169906616","5.635630130767822","155.5","0","311","4.374599157235561","3.8475849628448486","4.7308244705200195","311","0","622","4.137423147757848","3.5397419929504395","4.8523077964782715"
"2","469.5","314","625","3.707796809000847","3.309664487838745","4.099062919616699","469.5","314","625","3.8562522721596255","3.4478700160980225","4.200899124145508","937","626","1248","3.6296907709195065","3.1480510234832764","4.080515384674072"
"3","783.5","628","939","3.4598980377881956","3.0826303958892822","3.8440370559692383","783.5","628","939","3.543235399784186","3.1167283058166504","3.946230173110962","1563","1252","1874","3.3487857098762808","2.975541591644287","3.7637832164764404"
"4","1097.5","942","1253","3.2393890718619027","2.7430243492126465","3.734186887741089","1097.5","942","1253","3.3211990281557426","2.9448673725128174","3.6753721237182617","2189","1878","2500","3.134657246944232","2.694831371307373","3.4942803382873535"
"5","1411.5","1256","1567","3.043733210899891","2.6164767742156982","3.489257335662842","1411.5","1256","1567","3.1378587805307827","2.78560471534729","3.5659537315368652","2815","2504","3126","2.9219072193671494","2.5277061462402344","3.3320727348327637"
"6","1725.5","1570","1881","2.8334792172297454","2.3983941078186035","3.2750978469848633","1725.5","1570","1881","2.985200503697762","2.5484631061553955","3.322474956512451","3441","3130","3752","2.735948160672799","2.3194808959960938","3.133894920349121"
"7","2039.5","1884","2195","2.6385589983218756","2.2192559242248535","2.999405860900879","2039.5","1884","2195","2.8348582707918606","2.3584225177764893","3.401019811630249","4067","3756","4378","2.5616376522259836","2.1572015285491943","2.9544601440429688"
"8","2353.5","2198","2509","2.511213724429791","2.051401376724243","2.913684606552124","2353.5","2198","2509","2.693005321117548","2.311567783355713","3.0633256435394287","4693","4382","5004","2.4165419240792594","1.8799431324005127","2.904169797897339"
"9","2667.5","2512","2823","2.3549290135120735","1.8597216606140137","2.881399631500244","2667.5","2512","2823","2.566078333518444","2.102975606918335","3.00675630569458","5319","5008","5630","2.2842026379628058","1.7727978229522705","2.742173194885254"
"10","2981.5","2826","3137","2.240622544517884","1.8135483264923096","2.7424962520599365","2981.5","2826","3137","2.443796740892606","2.0505006313323975","2.9385335445404053","5945","5634","6256","2.172806287041077","1.7022300958633423","2.581432342529297"
"11","3295.5","3140","3451","2.1749988221205196","1.7818245887756348","2.631972074508667","3295.5","3140","3451","2.3325041903135104","1.8905816078186035","2.8188281059265137","6571","6260","6882","2.0558449178934097","1.6444348096847534","2.562077522277832"
"12","3609.5","3454","3765","2.045839540469341","1.6314113140106201","2.5305821895599365","3609.5","3454","3765","2.2310012651559634","1.823325753211975","2.7258825302124023","7197","6886","7508","1.962175054809986","1.556906819343567","2.424975872039795"
"13","3923.5","3768","4079","1.9601656985588563","1.5253883600234985","2.498782157897949","3923.5","3768","4079","2.1375846839868107","1.7400916814804077","2.578582525253296","7823","7512","8134","1.877006845214428","1.5030019283294678","2.4339284896850586"
"14","4237.5","4082","4393","1.8811360532656694","1.5110416412353516","2.253774404525757","4237.5","4082","4393","2.0546434296247287","1.5932457447052002","2.57148814201355","8449","8138","8760","1.7854177776055458","1.375191330909729","2.1423370838165283"
"15","4551.5","4396","4707","1.808218009960957","1.4556561708450317","2.1999387741088867","4551.5","4396","4707","1.962866681508529","1.5510741472244263","2.4545681476593018","9075","8764","9386","1.7030203330975313","1.3227213621139526","2.1019132137298584"
