"epoch","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MAX","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MAX"
"1","313","313","313","0.04999862923413781","0.04999862923413781","0.04999862923413781"
"2","627","627","627","0.049994517086871144","0.049994517086871144","0.049994517086871144"
"3","941","941","941","0.0499876640091433","0.0499876640091433","0.0499876640091433"
"4","1255","1255","1255","0.049978070752471467","0.049978070752471467","0.049978070752471467"
"5","1569","1569","1569","0.04996573836886435","0.04996573836886435","0.04996573836886435"
"6","1883","1883","1883","0.049950668210706796","0.049950668210706796","0.049950668210706796"
"7","2197","2197","2197","0.04993286193061145","0.04993286193061145","0.04993286193061145"
"8","2511","2511","2511","0.049912321481237615","0.049912321481237615","0.049912321481237615"
"9","2825","2825","2825","0.049889049115077","0.049889049115077","0.049889049115077"
"10","3139","3139","3139","0.049863047384206834","0.049863047384206834","0.049863047384206834"
"11","3453","3453","3453","0.049834319140009915","0.049834319140009915","0.049834319140009915"
"12","3767","3767","3767","0.04980286753286196","0.04980286753286196","0.04980286753286196"
"13","4081","4081","4081","0.049768696011786094","0.049768696011786094","0.049768696011786094"
"14","4395","4395","4395","0.049731808324074714","0.049731808324074714","0.049731808324074714"
"15","4709","4709","4709","0.04969220851487845","0.04969220851487845","0.04969220851487845"
"16","5023","5023","5023","0.04964990092676263","0.04964990092676263","0.04964990092676263"
"17","5337","5337","5337","0.04960489019923105","0.04960489019923105","0.04960489019923105"
"18","5651","5651","5651","0.049557181268217225","0.049557181268217225","0.049557181268217225"
"19","5965","5965","5965","0.049506779365543055","0.049506779365543055","0.049506779365543055"
"20","6279","6279","6279","0.049453690018345146","0.049453690018345146","0.049453690018345146"
"21","6593","6593","6593","0.049397919048468686","0.049397919048468686","0.049397919048468686"
"22","6907","6907","6907","0.04933947257182901","0.04933947257182901","0.04933947257182901"
"23","7221","7221","7221","0.049278356997740906","0.049278356997740906","0.049278356997740906"
"24","7535","7535","7535","0.049214579028215785","0.049214579028215785","0.049214579028215785"
"25","7849","7849","7849","0.049148145657226715","0.049148145657226715","0.049148145657226715"
"26","8163","8163","8163","0.04907906416994146","0.04907906416994146","0.04907906416994146"
"27","8477","8477","8477","0.049007342141923586","0.049007342141923586","0.049007342141923586"
