"epoch","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MAX","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy__MAX"
"1","312","312","312","0.06264999508857727","0.06264999508857727","0.06264999508857727","312","312","312","0.061124999076128006","0.061124999076128006","0.061124999076128006"
"2","627","627","627","0.13095000386238098","0.13095000386238098","0.13095000386238098","626","626","626","0.12907499074935913","0.12907499074935913","0.12907499074935913"
"3","942","942","942","0.18357498943805695","0.18357498943805695","0.18357498943805695","940","940","940","0.17717500030994415","0.17717500030994415","0.17717500030994415"
"4","1257","1257","1257","0.22809998691082","0.22809998691082","0.22809998691082","1254","1254","1254","0.218299999833107","0.218299999833107","0.218299999833107"
"5","1572","1572","1572","0.2696000039577484","0.2696000039577484","0.2696000039577484","1568","1568","1568","0.25532498955726624","0.25532498955726624","0.25532498955726624"
"6","1887","1887","1887","0.2992999851703644","0.2992999851703644","0.2992999851703644","1882","1882","1882","0.2894499897956848","0.2894499897956848","0.2894499897956848"
"7","2202","2202","2202","0.3331499993801117","0.3331499993801117","0.3331499993801117","2196","2196","2196","0.3182249963283539","0.3182249963283539","0.3182249963283539"
"8","2517","2517","2517","0.3641499876976013","0.3641499876976013","0.3641499876976013","2510","2510","2510","0.350724995136261","0.350724995136261","0.350724995136261"
"9","2832","2832","2832","0.38819998502731323","0.38819998502731323","0.38819998502731323","2824","2824","2824","0.3665750026702881","0.3665750026702881","0.3665750026702881"
"10","3147","3147","3147","0.41669997572898865","0.41669997572898865","0.41669997572898865","3138","3138","3138","0.398375004529953","0.398375004529953","0.398375004529953"
"11","3462","3462","3462","0.43459999561309814","0.43459999561309814","0.43459999561309814","3452","3452","3452","0.42289999127388","0.42289999127388","0.42289999127388"
"12","3777","3777","3777","0.461899995803833","0.461899995803833","0.461899995803833","3766","3766","3766","0.4449999928474426","0.4449999928474426","0.4449999928474426"
"13","4092","4092","4092","0.4805249869823456","0.4805249869823456","0.4805249869823456","4080","4080","4080","0.4662749767303467","0.4662749767303467","0.4662749767303467"
"14","4407","4407","4407","0.5011500120162964","0.5011500120162964","0.5011500120162964","4394","4394","4394","0.4870999753475189","0.4870999753475189","0.4870999753475189"
"15","4722","4722","4722","0.5217249989509583","0.5217249989509583","0.5217249989509583","4708","4708","4708","0.5040749907493591","0.5040749907493591","0.5040749907493591"
"16","5037","5037","5037","0.5337249636650085","0.5337249636650085","0.5337249636650085","5022","5022","5022","0.5247249603271484","0.5247249603271484","0.5247249603271484"
"17","5352","5352","5352","0.5534999966621399","0.5534999966621399","0.5534999966621399","5336","5336","5336","0.5368250012397766","0.5368250012397766","0.5368250012397766"
"18","5667","5667","5667","0.5667749643325806","0.5667749643325806","0.5667749643325806","5650","5650","5650","0.5519750118255615","0.5519750118255615","0.5519750118255615"
"19","5982","5982","5982","0.5822749733924866","0.5822749733924866","0.5822749733924866","5964","5964","5964","0.5703999996185303","0.5703999996185303","0.5703999996185303"
"20","6297","6297","6297","0.6004250049591064","0.6004250049591064","0.6004250049591064","6278","6278","6278","0.5862500071525574","0.5862500071525574","0.5862500071525574"
"21","6612","6612","6612","0.6127499938011169","0.6127499938011169","0.6127499938011169","6592","6592","6592","0.5942999720573425","0.5942999720573425","0.5942999720573425"
"22","6927","6927","6927","0.6243749856948853","0.6243749856948853","0.6243749856948853","6906","6906","6906","0.6133249998092651","0.6133249998092651","0.6133249998092651"
