"Step","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss__MAX","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss__MIN","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss__MAX"
"5","4.714757919311523","4.714757919311523","4.714757919311523","","",""
"16","4.656917572021484","4.656917572021484","4.656917572021484","","",""
"18","4.7093825340271","4.7093825340271","4.7093825340271","","",""
"24","","","","4.716262340545654","4.716262340545654","4.716262340545654"
"27","4.70882511138916","4.70882511138916","4.70882511138916","","",""
"38","4.666454792022705","4.666454792022705","4.666454792022705","4.597915172576904","4.597915172576904","4.597915172576904"
"40","4.695577144622803","4.695577144622803","4.695577144622803","","",""
"45","4.634503364562988","4.634503364562988","4.634503364562988","","",""
"50","4.548995494842529","4.548995494842529","4.548995494842529","","",""
"53","","","","4.490990161895752","4.490990161895752","4.490990161895752"
"72","4.383585453033447","4.383585453033447","4.383585453033447","","",""
"108","","","","4.1994829177856445","4.1994829177856445","4.1994829177856445"
"109","4.212498664855957","4.212498664855957","4.212498664855957","","",""
"114","4.136853218078613","4.136853218078613","4.136853218078613","","",""
"117","4.117334365844727","4.117334365844727","4.117334365844727","","",""
"124","4.269194602966309","4.269194602966309","4.269194602966309","","",""
"133","4.194567680358887","4.194567680358887","4.194567680358887","","",""
"134","4.035048484802246","4.035048484802246","4.035048484802246","","",""
"139","3.936919927597046","3.936919927597046","3.936919927597046","","",""
"149","","","","4.131878852844238","4.131878852844238","4.131878852844238"
"153","","","","3.940747022628784","3.940747022628784","3.940747022628784"
"157","","","","3.946380376815796","3.946380376815796","3.946380376815796"
"159","","","","4.079039096832275","4.079039096832275","4.079039096832275"
"167","4.007447719573975","4.007447719573975","4.007447719573975","","",""
"168","4.046722412109375","4.046722412109375","4.046722412109375","","",""
"171","","","","3.9866836071014404","3.9866836071014404","3.9866836071014404"
"172","","","","4.003685474395752","4.003685474395752","4.003685474395752"
"175","","","","4.067800521850586","4.067800521850586","4.067800521850586"
"176","","","","3.868274450302124","3.868274450302124","3.868274450302124"
"184","","","","4.156644344329834","4.156644344329834","4.156644344329834"
"186","","","","4.072632789611816","4.072632789611816","4.072632789611816"
"199","","","","3.9716241359710693","3.9716241359710693","3.9716241359710693"
"230","4.028231143951416","4.028231143951416","4.028231143951416","","",""
"231","4.190308094024658","4.190308094024658","4.190308094024658","","",""
"233","3.836965560913086","3.836965560913086","3.836965560913086","","",""
"235","4.137179374694824","4.137179374694824","4.137179374694824","","",""
"244","3.9378883838653564","3.9378883838653564","3.9378883838653564","","",""
"250","","","","3.907771110534668","3.907771110534668","3.907771110534668"
"252","4.002773284912109","4.002773284912109","4.002773284912109","","",""
"262","","","","3.87332820892334","3.87332820892334","3.87332820892334"
"266","","","","3.9142541885375977","3.9142541885375977","3.9142541885375977"
"270","4.03432559967041","4.03432559967041","4.03432559967041","3.816380500793457","3.816380500793457","3.816380500793457"
"276","3.7054104804992676","3.7054104804992676","3.7054104804992676","","",""
"277","","","","3.954644203186035","3.954644203186035","3.954644203186035"
"279","3.876171350479126","3.876171350479126","3.876171350479126","","",""
"285","3.7659051418304443","3.7659051418304443","3.7659051418304443","","",""
"297","","","","3.789821147918701","3.789821147918701","3.789821147918701"
"304","3.68013072013855","3.68013072013855","3.68013072013855","","",""
"305","3.753248929977417","3.753248929977417","3.753248929977417","","",""
"308","3.8341329097747803","3.8341329097747803","3.8341329097747803","","",""
"309","4.059558391571045","4.059558391571045","4.059558391571045","","",""
"311","3.749969244003296","3.749969244003296","3.749969244003296","","",""
"316","","","","3.6770999431610107","3.6770999431610107","3.6770999431610107"
"331","","","","3.6588947772979736","3.6588947772979736","3.6588947772979736"
"335","3.776648759841919","3.776648759841919","3.776648759841919","","",""
"337","","","","3.6345431804656982","3.6345431804656982","3.6345431804656982"
"339","4.018874168395996","4.018874168395996","4.018874168395996","","",""
"340","","","","3.6414129734039307","3.6414129734039307","3.6414129734039307"
"350","","","","3.8562891483306885","3.8562891483306885","3.8562891483306885"
"355","3.7152347564697266","3.7152347564697266","3.7152347564697266","","",""
"360","","","","3.5941073894500732","3.5941073894500732","3.5941073894500732"
"364","3.6606640815734863","3.6606640815734863","3.6606640815734863","","",""
"370","","","","3.940666437149048","3.940666437149048","3.940666437149048"
"374","3.7045392990112305","3.7045392990112305","3.7045392990112305","","",""
"380","3.7108287811279297","3.7108287811279297","3.7108287811279297","","",""
"381","","","","3.7329249382019043","3.7329249382019043","3.7329249382019043"
"395","3.812875747680664","3.812875747680664","3.812875747680664","","",""
"403","","","","3.559025287628174","3.559025287628174","3.559025287628174"
"409","3.939002752304077","3.939002752304077","3.939002752304077","","",""
"411","3.623073101043701","3.623073101043701","3.623073101043701","","",""
"416","","","","3.652503728866577","3.652503728866577","3.652503728866577"
"417","","","","3.580622911453247","3.580622911453247","3.580622911453247"
"420","","","","3.5079538822174072","3.5079538822174072","3.5079538822174072"
"429","3.4983599185943604","3.4983599185943604","3.4983599185943604","","",""
"435","3.700531482696533","3.700531482696533","3.700531482696533","","",""
"437","3.978254795074463","3.978254795074463","3.978254795074463","","",""
"447","","","","3.630979299545288","3.630979299545288","3.630979299545288"
"450","","","","3.652992010116577","3.652992010116577","3.652992010116577"
"456","","","","3.555842399597168","3.555842399597168","3.555842399597168"
"466","","","","3.589022636413574","3.589022636413574","3.589022636413574"
"467","","","","3.7111735343933105","3.7111735343933105","3.7111735343933105"
"470","3.6383328437805176","3.6383328437805176","3.6383328437805176","3.5862579345703125","3.5862579345703125","3.5862579345703125"
