"epoch","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MAX","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss__MAX"
"1","148.71794871794873","7","303","4.189502171981029","3.7319533824920654","4.786366939544678","150.92857142857142","6","308","4.179494661944253","3.6414740085601807","4.772980213165283"
"2","472","333","617","3.659200608730316","3.3617749214172363","3.97499942779541","498.9130434782609","372","622","3.633491837460062","3.3201286792755127","3.8839197158813477"
"3","786.6363636363636","631","930","3.3678395964882593","3.0998477935791016","3.773998975753784","791.2727272727273","631","937","3.365429336374456","2.959812879562378","3.6771881580352783"
"4","1085.3658536585365","945","1253","3.1079146629426537","2.8762011528015137","3.443480968475342","1083.1612903225807","953","1232","3.171413529303766","2.9046454429626465","3.4821314811706543"
"5","1423.4285714285713","1263","1570","2.9060674962543307","2.561724901199341","3.3085153102874756","1414.0434782608695","1259","1563","2.9967020801875903","2.7362496852874756","3.3521931171417236"
"6","1737.9761904761904","1579","1886","2.711235176949274","2.280733346939087","3.04787278175354","1736.857142857143","1576","1868","2.7445955787386214","2.4318556785583496","3.027301788330078"
"7","2034.7428571428572","1898","2194","2.5519930022103448","2.3081867694854736","2.831277847290039","2048.1785714285716","1887","2182","2.602605266230447","2.3391425609588623","2.875044345855713"
"8","2349.40625","2222","2475","2.4272829741239548","2.158130645751953","2.8893706798553467","2353.3333333333335","2201","2491","2.4795176404895205","2.186086416244507","2.72784686088562"
"9","2668.12","2534","2816","2.2726428413391115","1.9892888069152832","2.51784086227417","2654.5897435897436","2517","2822","2.376023475940411","2.0535130500793457","2.816014051437378"
"10","2978.675","2859","3135","2.1316841542720795","1.814854621887207","2.592311382293701","2965.478260869565","2827","3137","2.2389743276264356","2.0033257007598877","2.4593088626861572"
"11","3325.548387096774","3151","3450","2.032969770892974","1.7005200386047363","2.306718587875366","3291.3125","3147","3445","2.1318770609796047","1.862157940864563","2.3551836013793945"
"12","3640.548387096774","3480","3771","1.9946086560526202","1.582924485206604","2.46636962890625","3637.4333333333334","3461","3762","1.987308645248413","1.7238924503326416","2.2534093856811523"
"13","3932.060606060606","3786","4083","1.8832214059251728","1.6024364233016968","2.1797993183135986","3935.0333333333333","3771","4074","1.8758501966794332","1.5822930335998535","2.1677746772766113"
"14","4242.482758620689","4096","4394","1.780176960188767","1.4699753522872925","2.2459185123443604","4253.129032258064","4105","4373","1.8493004691216253","1.6801987886428833","2.0369133949279785"
"15","4545.641025641025","4413","4706","1.7188085103646302","1.402481198310852","2.2012040615081787","4541.972222222223","4397","4679","1.7698427240053813","1.5517996549606323","2.027704954147339"
"16","4861.694444444444","4734","5033","1.639766772588094","1.3151581287384033","1.893504023551941","4886.114285714286","4729","5005","1.6954083102090018","1.4553556442260742","1.980209231376648"
"17","5167.727272727273","5052","5339","1.5691819154854976","1.2231217622756958","2.065702438354492","5202.464285714285","5052","5331","1.612910121679306","1.2883994579315186","1.8035063743591309"
"18","5531.206896551724","5358","5663","1.4840624743494495","1.174043893814087","1.6636677980422974","5524.272727272727","5365","5647","1.5594209071361658","1.2948620319366455","1.8437892198562622"
"19","5792.85294117647","5675","5969","1.4029085075154024","1.0981258153915405","1.6988391876220703","5799.212121212121","5655","5958","1.499762697653337","1.2589454650878906","1.7826493978500366"
"20","6100.548387096775","5990","6296","1.3880860536329207","1.193852186203003","1.6467639207839966","6123.756756756757","5972","6274","1.3929181163375441","1.1175967454910278","1.787900686264038"
"21","6447.96875","6301","6588","1.3138531669974327","1.123205304145813","1.6483529806137085","6425.484848484848","6285","6569","1.3458582198981084","1.1137670278549194","1.5273489952087402"
"22","6790.807692307692","6629","6924","1.3003496435972361","1.044970154762268","1.6665712594985962","6728.3448275862065","6597","6882","1.2886816879798626","1.0126752853393555","1.7267416715621948"
"23","7099.571428571428","6964","7232","1.2087310275861196","0.9886266589164734","1.4531022310256958","7052.809523809524","6910","7217","1.2486958021209353","0.9236576557159424","1.61488938331604"
"24","7381.321428571428","7249","7551","1.1561798942940575","0.8795192241668701","1.3695902824401855","7366.914285714286","7222","7517","1.2151090230260577","0.8337752819061279","1.5448757410049438"
"25","7726","7562","7869","1.1373556618179594","0.9258248805999756","1.4730713367462158","7683.540540540541","7537","7836","1.1391697864274721","0.8222998976707458","1.4236849546432495"
"26","8028.529411764706","7878","8186","1.0383941881796892","0.7946842908859253","1.4491100311279297","7992.833333333333","7852","8140","1.073144151767095","0.7485777139663696","1.4160162210464478"
"27","8339.75","8190","8496","1.0300437375903129","0.7986420392990112","1.342649221420288","8328.57142857143","8164","8468","1.0452584760529655","0.7049011588096619","1.2605323791503906"
"28","8644.60606060606","8510","8816","0.9984244740370548","0.7586818933486938","1.324973464012146","8629.142857142857","8479","8787","1.0227993437222072","0.7501292824745178","1.4610002040863037"
"29","8970.172413793103","8827","9104","0.914378992442427","0.6424524188041687","1.131913661956787","8975.277777777777","8820","9099","0.9989095644818412","0.8075017929077148","1.2385863065719604"
"30","9282.17857142857","9140","9435","0.8826273956469127","0.6032458543777466","1.1536509990692139","9266.71794871795","9128","9413","0.9129403111262199","0.600593626499176","1.17694091796875"
"31","9585.513513513513","9450","9761","0.8379074318988903","0.5531800389289856","1.0903855562210083","9611.892857142857","9432","9729","0.8731985922370639","0.665197491645813","1.121979832649231"
"32","9943.483870967742","9769","10065","0.8049920662756889","0.6472477316856384","1.0332344770431519","9885.171428571428","9760","10031","0.8060568009104048","0.5754370093345642","1.016746163368225"
"33","10250.193548387097","10111","10386","0.7566256984587638","0.557131290435791","0.9988305568695068","10202.129032258064","10061","10351","0.7872951319140773","0.5751499533653259","1.2035075426101685"
"34","10563.457142857143","10399","10698","0.7281098135880062","0.49185624718666077","1.0111637115478516","10523.40625","10370","10662","0.6636377703398466","0.5042106509208679","1.0208748579025269"
"35","10872.515151515152","10724","11015","0.6679769248673411","0.43959444761276245","0.8993825316429138","10815.75","10706","10961","0.6619475012024244","0.44604596495628357","0.8570494055747986"
"36","11224.08","11038","11323","0.6485702586174011","0.5250585675239563","0.9158190488815308","11142.369565217392","10995","11293","0.6450169021668641","0.4382687211036682","0.8493872880935669"
"37","11482.17857142857","11340","11635","0.5792664236256054","0.4112362563610077","0.8356347680091858","11464.171428571428","11306","11610","0.5722314647265843","0.4060747027397156","0.7487519979476929"
"38","11802.673913043478","11655","11954","0.5559197560600613","0.34899717569351196","0.8222952485084534","11793.542857142857","11618","11924","0.5685858190059662","0.43116554617881775","0.7574929594993591"
"39","12122.42857142857","11970","12259","0.540629586151668","0.29142582416534424","0.7522802352905273","12088.029411764706","11945","12227","0.5713329569381826","0.3736509680747986","0.71113121509552"
"40","12454.738095238095","12291","12596","0.48880272961798166","0.3223299980163574","0.6632346510887146","12430.035714285714","12250","12557","0.5096974553806441","0.316012978553772","0.6501767039299011"
"41","12749.967741935483","12602","12910","0.4803958400603264","0.33876335620880127","0.6922756433486938","12689.290322580646","12560","12868","0.48024543062333136","0.3206934928894043","0.6592257022857666"
"42","13068.878787878788","12915","13203","0.4568435757449179","0.2457805871963501","0.6431350111961365","13028","12875","13170","0.4446981860243756","0.2852325737476349","0.6591229438781738"
"43","13403.115384615385","13252","13538","0.4101954320302376","0.2837044596672058","0.6423258781433105","13379.866666666667","13214","13499","0.44037315050760906","0.3194890320301056","0.6988222002983093"
"44","13679.633333333333","13546","13852","0.40956433216730753","0.272445946931839","0.5845807194709778","13682.518518518518","13514","13807","0.386872254036091","0.2977748215198517","0.5062049627304077"
"45","14035.414634146342","13865","14170","0.39654159727619914","0.24811045825481415","0.5556946396827698","14007.65","13824","14125","0.36738567873835565","0.15949413180351257","0.6827555298805237"
"46","14318.5","14191","14460","0.3312323330079808","0.18871304392814636","0.4540182650089264","14282.297297297297","14133","14439","0.3623336497190836","0.21102938055992126","0.593280553817749"
"47","14630.372093023256","14493","14801","0.31430016561996105","0.18804024159908295","0.5155565738677979","14590.833333333334","14450","14754","0.33655804998817895","0.1948486715555191","0.6251377463340759"
"48","14982.21875","14812","15112","0.3207791903987527","0.20354345440864563","0.49865782260894775","14929.558823529413","14776","15069","0.313411892775227","0.17715486884117126","0.4564352333545685"
"49","15274.444444444445","15134","15409","0.30288229551580215","0.16063767671585083","0.4091232717037201","15231.48275862069","15083","15382","0.28858497019471796","0.17208898067474365","0.47707122564315796"
"50","15581.823529411764","15437","15727","0.25378449874765735","0.14539222419261932","0.3841973841190338","15541","15420","15680","0.2751328983792552","0.16524697840213776","0.37561920285224915"
"51","15908.146341463415","15763","16059","0.24568165747857676","0.12033025175333023","0.4349815547466278","15887.208333333334","15706","16004","0.2610677598665158","0.13908621668815613","0.3720051944255829"
"52","16221.022222222222","16065","16372","0.23692067861557006","0.10102366656064987","0.36972570419311523","16165.95","16022","16308","0.2360159732401371","0.12910433113574982","0.3864399194717407"
"53","16557.14285714286","16425","16677","0.25586400500365664","0.11677887290716171","0.4254956841468811","16488.666666666668","16329","16630","0.2227199191848437","0.11574692279100418","0.45158979296684265"
"54","16843.62162162162","16703","16999","0.20649780514272484","0.08781687170267105","0.34737202525138855","16808.233333333334","16656","16953","0.21308370182911554","0.08745111525058746","0.37912359833717346"
"55","17154.325581395347","17015","17317","0.20979528215735457","0.09077081829309464","0.3562975525856018","17117.115384615383","16962","17265","0.1969550604430529","0.09560558944940567","0.3514619767665863"
"56","17496.027027027027","17334","17636","0.18363740476402077","0.11997565627098083","0.2850426733493805","17427.94871794872","17287","17573","0.1860782932012509","0.08617433905601501","0.32594066858291626"
"57","17790.424242424244","17641","17944","0.19879714038335916","0.0845780000090599","0.359252005815506","17727.15","17585","17887","0.1938536360859871","0.09444255381822586","0.36673858761787415"
"58","18115.375","17959","18257","0.17994884997606278","0.07904426008462906","0.2924814522266388","18028.64285714286","17907","18176","0.17865049599536828","0.09043848514556885","0.3751726746559143"
"59","18419.969696969696","18276","18571","0.19128813594579697","0.09136562049388885","0.5300061106681824","18370.97142857143","18243","18523","0.17871694288083484","0.09734604507684708","0.28626590967178345"
"60","18752.379310344826","18603","18895","0.15765824245995488","0.06663894653320312","0.2813313603401184","18711.3125","18537","18827","0.17366976873017848","0.0772569552063942","0.26736825704574585"
"61","19058.594594594593","18911","19200","0.16357275309997635","0.055832598358392715","0.25757747888565063","18984.242424242424","18854","19151","0.13765148084723589","0.05765270069241524","0.26715245842933655"
"62","19368","19218","19526","0.15398547075914615","0.07344941049814224","0.23512893915176392","19302.653846153848","19156","19465","0.1496005178644107","0.061993904411792755","0.23129306733608246"
"63","19706.352941176472","19532","19828","0.1284191869199276","0.0707634910941124","0.23446296155452728","19622.97142857143","19470","19776","0.13754533848592213","0.04945189505815506","0.2788568437099457"
"64","20012.9","19845","20148","0.13706904550393423","0.041506074368953705","0.26610028743743896","19936.823529411766","19783","20090","0.13914158195257187","0.03645037114620209","0.3287372887134552"
"65","20315.59375","20174","20463","0.12541077728383243","0.06990796327590942","0.24580588936805725","20272.8125","20099","20407","0.12734898703638464","0.0569627620279789","0.19819912314414978"
"66","20661.909090909092","20492","20786","0.12334639104929837","0.06679527461528778","0.21987417340278625","20578.827586206895","20411","20714","0.13328100946442833","0.07071305811405182","0.2432444989681244"
"67","20937.59375","20790","21098","0.10043942159973085","0.028280891478061676","0.1799324005842209","20871.5","20728","21032","0.11595707484766056","0.0337456539273262","0.3102988302707672"
"68","21251.526315789473","21105","21404","0.1029378553656371","0.025307336822152138","0.17914196848869324","21199.620689655174","21051","21349","0.1267275329807709","0.051756128668785095","0.2763853669166565"
"69","21606.275","21431","21717","0.11123053673654795","0.03343978896737099","0.21315371990203857","21530.80769230769","21355","21654","0.11628314709434143","0.04950663447380066","0.18304181098937988"
"70","21906.235294117647","21748","22046","0.08428898497539408","0.02289701998233795","0.19057853519916534","21806.60714285714","21691","21938","0.09703965697969709","0.049231067299842834","0.1981073021888733"
"71","22177.1875","22063","22323","0.08202492666896433","0.02670099213719368","0.15510545670986176","22148.65625","21997","22265","0.10163821373134851","0.03502247482538223","0.1635304093360901"
"72","22486.676470588234","22368","22633","0.08031679394052309","0.03153766319155693","0.17054355144500732","22436.575757575756","22300","22603","0.11067295322815578","0.043544311076402664","0.21703773736953735"
"73","22856.257142857143","22683","22991","0.08674244236733232","0.023147547617554665","0.15492980182170868","22734.090909090908","22608","22872","0.08347023831623973","0.023715026676654816","0.18137620389461517"
"74","23177.1","23003","23306","0.08207449205219745","0.033956773579120636","0.19560647010803223","23064.625","22922","23226","0.10175105985254049","0.04539486765861511","0.2748207151889801"
"75","23480.677419354837","23330","23618","0.07484204676603118","0.025595851242542267","0.16425779461860657","23393.416666666668","23274","23546","0.09336021728813648","0.031385086476802826","0.18678610026836395"
"76","23784.484848484848","23636","23930","0.07018815737330553","0.017557185143232346","0.15084433555603027","23691.18181818182","23551","23852","0.08535056222568858","0.03453200310468674","0.21000324189662933"
"77","24091.916666666668","23980","24242","0.07011471805162728","0.023340215906500816","0.1304774284362793","23995.172413793105","23874","24142","0.09129734054721635","0.033518534153699875","0.19044318795204163"
"78","24417.78787878788","24270","24563","0.06836177284518878","0.019889792427420616","0.13622704148292542","24310.81818181818","24178","24468","0.07504342078711047","0.03086308389902115","0.16066838800907135"
"79","24722.222222222223","24579","24875","0.061603504267555696","0.016115063801407814","0.10876128822565079","24657.82857142857","24495","24784","0.08796316209648336","0.029495393857359886","0.16292737424373627"
"80","25012.085714285713","24892","25193","0.06788200544459479","0.01956954598426819","0.16565708816051483","24984.863636363636","24806","25083","0.06783081379465082","0.02624947391450405","0.11801442503929138"
"81","25360.612903225807","25200","25499","0.056294181414188876","0.024289725348353386","0.12055773288011551","25269","25168","25397","0.07350079894065857","0.038430631160736084","0.15743571519851685"
"82","25656.344827586207","25529","25824","0.05806427615983733","0.016272515058517456","0.106208935379982","25578.25","25441","25730","0.07689812645548955","0.029649322852492332","0.15250061452388763"
"83","25998.88888888889","25835","26133","0.057369776208091666","0.014415936544537544","0.1741238832473755","25891.10714285714","25751","26029","0.08275710019682135","0.036524415016174316","0.1738409847021103"
"84","26286.068965517243","26152","26452","0.05305012781172991","0.011005286127328873","0.14769522845745087","26245.75","26077","26370","0.07200892336873545","0.023024484515190125","0.15025652945041656"
"85","26595.36","26464","26764","0.050491345040500166","0.014889667741954327","0.10533054918050766","26539.428571428572","26383","26678","0.06514002079410212","0.0266749057918787","0.2068607062101364"
"86","26920.358974358973","26777","27079","0.04727232718888002","0.0074970657005906105","0.10764182358980179","26848.121212121212","26725","26953","0.055829213141943466","0.007448326796293259","0.11667655408382416"
"87","27255.03125","27107","27400","0.050548431114293635","0.010422206483781338","0.10868491977453232","27153.975","27007","27296","0.06715730638243259","0.022248245775699615","0.17606514692306519"
"88","27560.444444444445","27406","27712","0.04617596262445053","0.011287795379757881","0.11217537522315979","27466.029411764706","27318","27621","0.04970684296944562","0.014442969113588333","0.13861636817455292"
"89","27865.323529411766","27728","28012","0.041216882110080295","0.011873802170157433","0.08940388262271881","27763.25","27641","27922","0.060949862614506856","0.014017959125339985","0.13236886262893677"
"90","28186.862068965518","28052","28334","0.03776130465597942","0.006010857410728931","0.12008224427700043","28113.432432432433","27947","28257","0.049493870018301786","0.01737396791577339","0.10798582434654236"
