"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MAX"
"1","312","312","312","0.06300000101327896","0.06300000101327896","0.06300000101327896","312","312","312","0.0645499974489212","0.0645499974489212","0.0645499974489212"
"2","627","627","627","0.1290999948978424","0.1290999948978424","0.1290999948978424","627","627","627","0.13454999029636383","0.13454999029636383","0.13454999029636383"
"3","942","942","942","0.17272499203681946","0.17272499203681946","0.17272499203681946","942","942","942","0.17972499132156372","0.17972499132156372","0.17972499132156372"
"4","1257","1257","1257","0.21767500042915344","0.21767500042915344","0.21767500042915344","1257","1257","1257","0.21937499940395355","0.21937499940395355","0.21937499940395355"
"5","1572","1572","1572","0.2593500018119812","0.2593500018119812","0.2593500018119812","1572","1572","1572","0.25872498750686646","0.25872498750686646","0.25872498750686646"
"6","1887","1887","1887","0.30322498083114624","0.30322498083114624","0.30322498083114624","1887","1887","1887","0.2978249788284302","0.2978249788284302","0.2978249788284302"
"7","2202","2202","2202","0.33742499351501465","0.33742499351501465","0.33742499351501465","2202","2202","2202","0.3316749930381775","0.3316749930381775","0.3316749930381775"
"8","2517","2517","2517","0.3705749809741974","0.3705749809741974","0.3705749809741974","2517","2517","2517","0.36039999127388","0.36039999127388","0.36039999127388"
"9","2832","2832","2832","0.39022499322891235","0.39022499322891235","0.39022499322891235","2832","2832","2832","0.38692498207092285","0.38692498207092285","0.38692498207092285"
"10","3147","3147","3147","0.4179999828338623","0.4179999828338623","0.4179999828338623","3147","3147","3147","0.4113999903202057","0.4113999903202057","0.4113999903202057"
"11","3462","3462","3462","0.4354749917984009","0.4354749917984009","0.4354749917984009","3462","3462","3462","0.4328249990940094","0.4328249990940094","0.4328249990940094"
"12","3777","3777","3777","0.45022499561309814","0.45022499561309814","0.45022499561309814","3777","3777","3777","0.4573749899864197","0.4573749899864197","0.4573749899864197"
"13","4092","4092","4092","0.4670499861240387","0.4670499861240387","0.4670499861240387","4092","4092","4092","0.4738999903202057","0.4738999903202057","0.4738999903202057"
"14","4407","4407","4407","0.4817749857902527","0.4817749857902527","0.4817749857902527","4407","4407","4407","0.4953249990940094","0.4953249990940094","0.4953249990940094"
"15","4722","4722","4722","0.4957999885082245","0.4957999885082245","0.4957999885082245","4722","4722","4722","0.5084750056266785","0.5084750056266785","0.5084750056266785"
"16","5037","5037","5037","0.5053749680519104","0.5053749680519104","0.5053749680519104","5037","5037","5037","0.5264750123023987","0.5264750123023987","0.5264750123023987"
"17","5352","5352","5352","0.5149250030517578","0.5149250030517578","0.5149250030517578","5352","5352","5352","0.5444499850273132","0.5444499850273132","0.5444499850273132"
"18","5667","5667","5667","0.521399974822998","0.521399974822998","0.521399974822998","5667","5667","5667","0.5597000122070312","0.5597000122070312","0.5597000122070312"
"19","5982","5982","5982","0.5331249833106995","0.5331249833106995","0.5331249833106995","5982","5982","5982","0.571399986743927","0.571399986743927","0.571399986743927"
"20","6297","6297","6297","0.536799967288971","0.536799967288971","0.536799967288971","6297","6297","6297","0.5823000073432922","0.5823000073432922","0.5823000073432922"
"21","6612","6612","6612","0.5492500066757202","0.5492500066757202","0.5492500066757202","6612","6612","6612","0.5967000126838684","0.5967000126838684","0.5967000126838684"
"22","6927","6927","6927","0.5473250150680542","0.5473250150680542","0.5473250150680542","6927","6927","6927","0.6134249567985535","0.6134249567985535","0.6134249567985535"
"23","7242","7242","7242","0.5492249727249146","0.5492249727249146","0.5492249727249146","7242","7242","7242","0.6235499978065491","0.6235499978065491","0.6235499978065491"
"24","7557","7557","7557","0.5582249760627747","0.5582249760627747","0.5582249760627747","7557","7557","7557","0.6381999850273132","0.6381999850273132","0.6381999850273132"
"25","7872","7872","7872","0.5583999752998352","0.5583999752998352","0.5583999752998352","7872","7872","7872","0.6491749882698059","0.6491749882698059","0.6491749882698059"
"26","8187","8187","8187","0.5699250102043152","0.5699250102043152","0.5699250102043152","8187","8187","8187","0.6609500050544739","0.6609500050544739","0.6609500050544739"
"27","8502","8502","8502","0.5746999979019165","0.5746999979019165","0.5746999979019165","8502","8502","8502","0.6695500016212463","0.6695500016212463","0.6695500016212463"
"28","8817","8817","8817","0.5753250122070312","0.5753250122070312","0.5753250122070312","8817","8817","8817","0.6837999820709229","0.6837999820709229","0.6837999820709229"
"29","9132","9132","9132","0.5800999999046326","0.5800999999046326","0.5800999999046326","9132","9132","9132","0.686549961566925","0.686549961566925","0.686549961566925"
"30","9447","9447","9447","0.5827249884605408","0.5827249884605408","0.5827249884605408","9447","9447","9447","0.7008500099182129","0.7008500099182129","0.7008500099182129"
"31","9762","9762","9762","0.589199960231781","0.589199960231781","0.589199960231781","9762","9762","9762","0.7103750109672546","0.7103750109672546","0.7103750109672546"
"32","10077","10077","10077","0.5858749747276306","0.5858749747276306","0.5858749747276306","10077","10077","10077","0.718874990940094","0.718874990940094","0.718874990940094"
