"Step","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss__MIN","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss__MAX","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss__MIN","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss__MAX"
"1","4.680669784545898","4.680669784545898","4.680669784545898","","",""
"4","4.65871000289917","4.65871000289917","4.65871000289917","","",""
"13","4.614701271057129","4.614701271057129","4.614701271057129","","",""
"16","4.752849578857422","4.752849578857422","4.752849578857422","","",""
"18","","","","4.694876670837402","4.694876670837402","4.694876670837402"
"41","4.7152814865112305","4.7152814865112305","4.7152814865112305","","",""
"42","","","","4.72932243347168","4.72932243347168","4.72932243347168"
"45","","","","4.532419204711914","4.532419204711914","4.532419204711914"
"49","","","","4.484134197235107","4.484134197235107","4.484134197235107"
"51","4.344292640686035","4.344292640686035","4.344292640686035","","",""
"58","4.334775447845459","4.334775447845459","4.334775447845459","","",""
"60","","","","4.427013874053955","4.427013874053955","4.427013874053955"
"66","","","","4.249743461608887","4.249743461608887","4.249743461608887"
"68","","","","4.3834662437438965","4.3834662437438965","4.3834662437438965"
"71","","","","4.389357566833496","4.389357566833496","4.389357566833496"
"72","4.372890472412109","4.372890472412109","4.372890472412109","","",""
"77","","","","4.354458332061768","4.354458332061768","4.354458332061768"
"80","4.273283004760742","4.273283004760742","4.273283004760742","","",""
"81","4.379067897796631","4.379067897796631","4.379067897796631","","",""
"83","","","","4.15485143661499","4.15485143661499","4.15485143661499"
"88","","","","4.195365905761719","4.195365905761719","4.195365905761719"
"97","4.218958854675293","4.218958854675293","4.218958854675293","","",""
"99","4.20802640914917","4.20802640914917","4.20802640914917","","",""
"101","4.4404096603393555","4.4404096603393555","4.4404096603393555","","",""
"102","4.235588073730469","4.235588073730469","4.235588073730469","","",""
"115","","","","4.085389137268066","4.085389137268066","4.085389137268066"
"121","4.128092288970947","4.128092288970947","4.128092288970947","4.238143444061279","4.238143444061279","4.238143444061279"
"125","","","","4.072695255279541","4.072695255279541","4.072695255279541"
"131","","","","4.033936977386475","4.033936977386475","4.033936977386475"
"138","4.108775615692139","4.108775615692139","4.108775615692139","","",""
"141","","","","4.0273051261901855","4.0273051261901855","4.0273051261901855"
"146","4.0794878005981445","4.0794878005981445","4.0794878005981445","","",""
"147","","","","4.113921642303467","4.113921642303467","4.113921642303467"
"151","3.91003155708313","3.91003155708313","3.91003155708313","","",""
"156","3.95902419090271","3.95902419090271","3.95902419090271","","",""
"159","4.028447151184082","4.028447151184082","4.028447151184082","4.056889057159424","4.056889057159424","4.056889057159424"
"160","","","","4.097512722015381","4.097512722015381","4.097512722015381"
"164","4.0290446281433105","4.0290446281433105","4.0290446281433105","","",""
