"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MAX"
"1","148.02777777777777","1","309","4.162223365571764","3.594620943069458","4.766847133636475","143","6","311","4.195997604103976","3.6299052238464355","4.6768317222595215"
"2","465.15","317","610","3.58822278380394","3.3407139778137207","3.862290143966675","480.125","315","626","3.618632972240448","3.3040223121643066","3.896778106689453"
"3","809.1891891891892","654","928","3.332107569720294","3.082338333129883","3.54936146736145","819.1","637","939","3.3448209524154664","3.0889225006103516","3.5782814025878906"
"4","1114.6341463414635","949","1255","3.115210341244209","2.748553991317749","3.37261700630188","1100.5","946","1249","3.1078371331095695","2.844122886657715","3.462996006011963"
"5","1406.4615384615386","1262","1565","2.908020948752379","2.57951021194458","3.2209079265594482","1403.3555555555556","1262","1569","2.923736561669244","2.647594928741455","3.1713337898254395"
"6","1748.888888888889","1595","1879","2.6753961311446295","2.4029150009155273","3.0242533683776855","1716.304347826087","1586","1859","2.6938666882722275","2.4593331813812256","3.005791187286377"
"7","2029.3333333333333","1912","2194","2.5253791014353433","2.294563055038452","2.923344135284424","2022.780487804878","1901","2179","2.532244310146425","2.2011306285858154","2.899212121963501"
"8","2342.4358974358975","2205","2496","2.3996454752408543","2.0260586738586426","2.8067798614501953","2358.21875","2207","2516","2.4317512586712837","2.010235071182251","2.635773181915283"
"9","2688.090909090909","2531","2826","2.2082024957194473","1.9763188362121582","2.4825730323791504","2681.205882352941","2533","2821","2.315532985855551","1.9218201637268066","2.615084409713745"
"10","2997.684210526316","2837","3145","2.150663065282922","1.7351940870285034","2.500589609146118","2981.6428571428573","2846","3137","2.138839832374028","1.9490346908569336","2.39609432220459"
"11","3304.625","3156","3450","2.1270012706518173","1.855012059211731","2.4885172843933105","3299.609756097561","3156","3458","2.03971766553274","1.6237561702728271","2.385535478591919"
