"epoch","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MAX","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy__MAX"
"1","624","624","624","0.060349997133016586","0.060349997133016586","0.060349997133016586","624","624","624","0.062049999833106995","0.062049999833106995","0.062049999833106995"
"2","1252","1252","1252","0.1297750025987625","0.1297750025987625","0.1297750025987625","1252","1252","1252","0.1421249955892563","0.1421249955892563","0.1421249955892563"
"3","1880","1880","1880","0.18517500162124634","0.18517500162124634","0.18517500162124634","1880","1880","1880","0.20327499508857727","0.20327499508857727","0.20327499508857727"
"4","2508","2508","2508","0.22337499260902405","0.22337499260902405","0.22337499260902405","2508","2508","2508","0.25679999589920044","0.25679999589920044","0.25679999589920044"
"5","3136","3136","3136","0.2670750021934509","0.2670750021934509","0.2670750021934509","3136","3136","3136","0.3002749979496002","0.3002749979496002","0.3002749979496002"
"6","3764","3764","3764","0.30309998989105225","0.30309998989105225","0.30309998989105225","3764","3764","3764","0.3331499993801117","0.3331499993801117","0.3331499993801117"
"7","4392","4392","4392","0.3360249996185303","0.3360249996185303","0.3360249996185303","4392","4392","4392","0.3637000024318695","0.3637000024318695","0.3637000024318695"
"8","5020","5020","5020","0.36547499895095825","0.36547499895095825","0.36547499895095825","5020","5020","5020","0.38667500019073486","0.38667500019073486","0.38667500019073486"
"9","5648","5648","5648","0.38952499628067017","0.38952499628067017","0.38952499628067017","5648","5648","5648","0.40482500195503235","0.40482500195503235","0.40482500195503235"
"10","6276","6276","6276","0.4155749976634979","0.4155749976634979","0.4155749976634979","6276","6276","6276","0.42149999737739563","0.42149999737739563","0.42149999737739563"
"11","6904","6904","6904","0.43632498383522034","0.43632498383522034","0.43632498383522034","6904","6904","6904","0.43244999647140503","0.43244999647140503","0.43244999647140503"
"12","7532","7532","7532","0.455049991607666","0.455049991607666","0.455049991607666","7532","7532","7532","0.44884997606277466","0.44884997606277466","0.44884997606277466"
"13","8160","8160","8160","0.4694499969482422","0.4694499969482422","0.4694499969482422","8160","8160","8160","0.46230000257492065","0.46230000257492065","0.46230000257492065"
"14","8788","8788","8788","0.485275000333786","0.485275000333786","0.485275000333786","8788","8788","8788","0.4679499864578247","0.4679499864578247","0.4679499864578247"
"15","9416","9416","9416","0.4921499788761139","0.4921499788761139","0.4921499788761139","9416","9416","9416","0.4710249900817871","0.4710249900817871","0.4710249900817871"
"16","10044","10044","10044","0.5064499974250793","0.5064499974250793","0.5064499974250793","10044","10044","10044","0.48032498359680176","0.48032498359680176","0.48032498359680176"
"17","10672","10672","10672","0.5155749917030334","0.5155749917030334","0.5155749917030334","10672","10672","10672","0.4836749732494354","0.4836749732494354","0.4836749732494354"
"18","11300","11300","11300","0.5231999754905701","0.5231999754905701","0.5231999754905701","11300","11300","11300","0.4946749806404114","0.4946749806404114","0.4946749806404114"
"19","11928","11928","11928","0.5318250060081482","0.5318250060081482","0.5318250060081482","11928","11928","11928","0.4980499744415283","0.4980499744415283","0.4980499744415283"
"20","12556","12556","12556","0.5415499806404114","0.5415499806404114","0.5415499806404114","12556","12556","12556","0.5059750080108643","0.5059750080108643","0.5059750080108643"
"21","13184","13184","13184","0.5447750091552734","0.5447750091552734","0.5447750091552734","13184","13184","13184","0.5105249881744385","0.5105249881744385","0.5105249881744385"
"22","13812","13812","13812","0.5508999824523926","0.5508999824523926","0.5508999824523926","13812","13812","13812","0.5100749731063843","0.5100749731063843","0.5100749731063843"
"23","14440","14440","14440","0.5561749935150146","0.5561749935150146","0.5561749935150146","14440","14440","14440","0.5193749666213989","0.5193749666213989","0.5193749666213989"
"24","15068","15068","15068","0.5582999587059021","0.5582999587059021","0.5582999587059021","15068","15068","15068","0.5198500156402588","0.5198500156402588","0.5198500156402588"
"25","15696","15696","15696","0.5621500015258789","0.5621500015258789","0.5621500015258789","15696","15696","15696","0.526199996471405","0.526199996471405","0.526199996471405"
