"epoch","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MAX","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MAX"
"1","306.625","16","610","4.167993515729904","3.6812055110931396","4.786574840545654","332.7142857142857","16","618","4.134288830416543","3.6421356201171875","4.752762317657471"
"2","918.060606060606","646","1232","3.674224802941987","3.292487144470215","3.9659247398376465","907.1111111111111","632","1236","3.568011634879642","3.176774263381958","3.9776177406311035"
"3","1504.2777777777778","1260","1856","3.3579594757821827","3.0889246463775635","3.7942161560058594","1574.842105263158","1272","1860","3.209250726197895","2.920586109161377","3.5288703441619873"
"4","2223.655172413793","1902","2502","3.0944870751479576","2.7285478115081787","3.3963425159454346","2232.162162162162","1894","2478","2.8992512483854553","2.653313159942627","3.2173264026641846"
"5","2807.4210526315787","2512","3124","2.8371689319610596","2.4961438179016113","3.139392137527466","2856.6451612903224","2544","3128","2.677027117821478","2.417004346847534","2.956104278564453"
"6","3437.5","3158","3736","2.671950861811638","2.411576986312866","2.9450724124908447","3411.2","3140","3686","2.545311675752912","2.1877262592315674","2.842088222503662"
"7","4129.4","3772","4388","2.5107903301715853","2.17588210105896","2.817318916320801","4090.4","3780","4364","2.3217068099975586","2.040254592895508","2.8624649047851562"
"8","4661.48717948718","4400","4988","2.388555062122834","2.0102925300598145","2.7505617141723633","4723.1612903225805","4400","4968","2.299869937281455","2.0596935749053955","2.630641222000122"
"9","5347.257142857143","5066","5644","2.2850980077471053","1.9599368572235107","2.567338228225708","5343.179487179487","5072","5636","2.180487021421775","1.7808330059051514","2.5318105220794678"
"10","5953.428571428572","5660","6238","2.1941429274422783","1.9083404541015625","2.3589046001434326","5941.133333333333","5676","6236","2.1479107975959777","1.8705692291259766","2.470625638961792"
