"epoch","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MAX"
"1","317","15","573","0.04923806842416525","0.036977753043174744","0.07098361849784851","251.96296296296296","5","621","0.13285188570066733","0.0626385360956192","0.41377535462379456"
"2","1003.7826086956521","659","1245","0.06825593275868375","0.057665713131427765","0.07846123725175858","935.1333333333333","627","1243","0.10486614977320036","0.08713822811841965","0.12516865134239197"
"3","1559.625","1271","1863","0.08351351297460496","0.07123377174139023","0.09791410714387894","1550.7575757575758","1255","1855","0.131063043393872","0.11505690217018127","0.14863720536231995"
"4","2188.1666666666665","1893","2499","0.09986628157397111","0.08295673131942749","0.11884798854589462","2180.6129032258063","1925","2501","0.14988085146873228","0.13267213106155396","0.17719946801662445"
"5","2772.1428571428573","2521","3055","0.11271498160702842","0.09688417613506317","0.12990927696228027","2837.777777777778","2529","3127","0.16981421038508415","0.14786425232887268","0.19368843734264374"
"6","3435.358974358974","3131","3727","0.12694281339645386","0.10008837282657623","0.15381959080696106","3385.5384615384614","3139","3671","0.1867053938599733","0.16877524554729462","0.2156991809606552"
"7","4059.0666666666666","3793","4371","0.13650243779023488","0.1162252202630043","0.1555500030517578","4020.0222222222224","3763","4355","0.20595320463180541","0.18494391441345215","0.22660574316978455"
"8","4698.277777777777","4411","5001","0.15293571228782335","0.13524401187896729","0.1908365786075592","4725.758620689655","4383","5001","0.22470300618944497","0.1925848126411438","0.2506856322288513"
"9","5343.827586206897","5047","5605","0.1620634501350337","0.1410939246416092","0.19270439445972443","5347.705882352941","5029","5619","0.23359707699102514","0.21148674190044403","0.2553361654281616"
"10","5946","5655","6255","0.1684652188171943","0.14812755584716797","0.22139830887317657","5890.037037037037","5649","6251","0.25127336548434365","0.23036524653434753","0.27070629596710205"
"11","6558.189189189189","6285","6873","0.17997113675684542","0.13994520902633667","0.21616792678833008","6610.058823529412","6261","6873","0.25573864447719913","0.2251395881175995","0.2857089638710022"
"12","7205.571428571428","6905","7485","0.18764149461473736","0.15241141617298126","0.23335278034210205","7193.342857142857","6889","7481","0.2640466098274503","0.2334517538547516","0.3113819360733032"
"13","7883.482758620689","7521","8135","0.19126870971301507","0.16986927390098572","0.22828629612922668","7862.419354838709","7539","8135","0.26459681074465474","0.24090075492858887","0.28666970133781433"
"14","8468.255813953489","8157","8753","0.20593073964118958","0.1683567613363266","0.24057632684707642","8445.733333333334","8173","8761","0.2755372732877731","0.25097203254699707","0.3158053755760193"
"15","9091.628571428571","8769","9377","0.20394560864993505","0.16289906203746796","0.2522355616092682","9100.368421052632","8769","9387","0.2736052729581532","0.2159477174282074","0.3088604211807251"
"16","9729.888888888889","9437","10011","0.21640937816765574","0.19142073392868042","0.24322542548179626","9715.70588235294","9403","9977","0.2714311042252709","0.23222921788692474","0.3087994158267975"
"17","10317.342857142858","10041","10633","0.21712320617267064","0.17352892458438873","0.2662360370159149","10398.625","10049","10627","0.274519972037524","0.23946967720985413","0.3103324770927429"
"18","10942.666666666666","10649","11247","0.2175408293803533","0.19038061797618866","0.24802090227603912","10975.545454545454","10661","11257","0.27002583624738635","0.22542336583137512","0.3133051097393036"
"19","11612.23076923077","11281","11887","0.2252160050930121","0.19122840464115143","0.25777822732925415","11601.052631578947","11271","11889","0.2799597790366725","0.2428775429725647","0.3256843388080597"
"20","12197.70588235294","11911","12493","0.22553184234044132","0.18761853873729706","0.27046874165534973","12216.290322580646","11895","12497","0.2688535898923874","0.2344634234905243","0.3021191954612732"
"21","12817.48","12547","13083","0.22853175818920135","0.18884912133216858","0.28207704424858093","12830.130434782608","12547","13135","0.2798540955004485","0.2324293851852417","0.3260265290737152"
"22","13463","13199","13737","0.23402555007487535","0.1926850527524948","0.28883689641952515","13424.5","13159","13745","0.2767656683921814","0.2278405725955963","0.3171088695526123"
"23","14090.513513513513","13801","14395","0.2340465220245155","0.18495048582553864","0.2894159257411957","14092.666666666666","13783","14391","0.2791179602344831","0.245112344622612","0.31952664256095886"
"24","14688.757575757576","14413","15001","0.23796391712896753","0.1908375769853592","0.2694244980812073","14784.931034482759","14415","15017","0.27642759166914843","0.24352768063545227","0.3085328936576843"
"25","15355.375","15059","15625","0.23033784050494432","0.18270382285118103","0.26026690006256104","15314.081081081082","15031","15637","0.2817983566909223","0.2424483746290207","0.3446448743343353"
"26","15959.121212121212","15695","16237","0.23498213787873587","0.19788029789924622","0.2841044068336487","15971.709677419354","15651","16257","0.2726372326574018","0.23485903441905975","0.31412702798843384"
"27","16590.11111111111","16289","16895","0.2307758507905183","0.1906694769859314","0.27596360445022583","16575.685714285715","16291","16891","0.2724283627101353","0.23387408256530762","0.299152135848999"
"28","17181.57894736842","16911","17511","0.2350430904250396","0.20134229958057404","0.27962565422058105","17237.39024390244","16919","17517","0.2862025717409646","0.2537168860435486","0.33447593450546265"
"29","17892.022222222222","17549","18127","0.2435966322819392","0.20244114100933075","0.2780880331993103","17865.285714285714","17551","18115","0.2815420962870121","0.24466492235660553","0.3286212086677551"
"30","18417.266666666666","18155","18747","0.23397523611783982","0.19903376698493958","0.2811814248561859","18442.916666666668","18163","18777","0.27573287797470886","0.24069242179393768","0.30846652388572693"
"31","19081.466666666667","18789","19387","0.23900758922100068","0.20247305929660797","0.2850445806980133","19062.545454545456","18781","19369","0.27608024735342374","0.24251241981983185","0.3208600878715515"
"32","19724.724137931036","19429","20019","0.234391660525881","0.20038770139217377","0.27007201313972473","19729.55172413793","19409","20003","0.28250692322336396","0.2503923177719116","0.3074582815170288"
"33","20230.48148148148","20035","20649","0.2392179607241242","0.2105400413274765","0.2694278061389923","20355.242424242424","20059","20633","0.2768144526264884","0.24401453137397766","0.3163481652736664"
"34","21004.714285714286","20681","21275","0.24694539553352765","0.2008654773235321","0.2994636297225952","20991.620689655174","20697","21267","0.2819178356178876","0.2327711433172226","0.33716490864753723"
"35","21604.3125","21301","21901","0.23754040151834488","0.19681033492088318","0.2785194218158722","21599.285714285714","21299","21899","0.2760211603982108","0.2371872514486313","0.33609816431999207"
