"epoch","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step__MIN","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step__MAX","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm__MIN","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm__MAX"
"1","312","1","623","12.59282648563385","12.123473167419434","13.023893356323242","312","1","623","12.562034594707","12.083148002624512","13.028779983520508"
"2","938","627","1249","11.676436833846264","11.246251106262207","12.120529174804688","938","627","1249","11.627382116440016","11.187492370605469","12.08014965057373"
"3","1564","1253","1875","10.84286160652454","10.454895973205566","11.24359130859375","1564","1253","1875","10.77040877709022","10.3687162399292","11.184744834899902"
"4","2190","1879","2501","10.093888784066225","9.748294830322266","10.452500343322754","2190","1879","2501","9.988161304058172","9.621219635009766","10.366212844848633"
"5","2816","2505","3127","9.430658471889984","9.128768920898438","9.746172904968262","2816","2505","3127","9.276082338430943","8.944757461547852","9.618928909301758"
"6","3442","3131","3753","8.853642864105028","8.593413352966309","9.126898765563965","3442","3131","3753","8.632838722987053","8.333359718322754","8.942682266235352"
"7","4068","3757","4379","8.357994565596947","8.13675308227539","8.591846466064453","4068","3757","4379","8.055757796153044","7.790078163146973","8.331507682800293"
"8","4694","4383","5005","7.939106539273873","7.751887798309326","8.135425567626953","4694","4383","5005","7.541271536778181","7.305803298950195","7.7884135246276855"
"9","5320","5009","5631","7.588843286037445","7.434478282928467","7.750797271728516","5320","5009","5631","7.088346400322059","6.882544040679932","7.304383754730225"
"10","5946","5635","6257","7.301098873982062","7.182203769683838","7.433520317077637","5946","5635","6257","6.693977563809126","6.514482498168945","6.881308078765869"
"11","6572","6261","6883","7.074783834127279","6.98001766204834","7.181431770324707","6572","6261","6883","6.3528470779076605","6.20207405090332","6.513357639312744"
"12","7198","6887","7509","6.890824670975025","6.808448314666748","6.979358196258545","7198","6887","7509","6.065097868442535","5.936966896057129","6.201145172119141"
"13","7824","7513","8135","6.732061743736267","6.663107395172119","6.80787992477417","7824","7513","8135","5.824296335379283","5.720836162567139","5.93620491027832"
"14","8450","8139","8761","6.604867802216456","6.553717613220215","6.662652015686035","8450","8139","8761","5.627589899760026","5.544077396392822","5.720199108123779"
"15","9076","8765","9387","6.507503989415291","6.46740198135376","6.553372859954834","9076","8765","9387","5.47412047172204","5.413165092468262","5.543501377105713"
"16","9702","9391","10013","6.437279271773803","6.408674240112305","6.467245101928711","9702","9391","10013","5.35409759863829","5.30624532699585","5.412815093994141"
"17","10328","10017","10639","6.382240533828735","6.355241298675537","6.408478260040283","10328","10017","10639","5.269425644324376","5.234225749969482","5.3059892654418945"
"18","10954","10643","11265","6.324316066045028","6.303870677947998","6.35497522354126","10954","10643","11265","5.2039162165079365","5.18742561340332","5.233921051025391"
"19","11580","11269","11891","6.286841299289312","6.271214485168457","6.303769588470459","11580","11269","11891","5.168558516563514","5.1576313972473145","5.187286376953125"
"20","12206","11895","12517","6.251046961698776","6.239274024963379","6.271087646484375","12206","11895","12517","5.137921337897961","5.125636577606201","5.157458782196045"
"21","12832","12521","13143","6.223375286811438","6.20705509185791","6.239529609680176","12832","12521","13143","5.1143426696459455","5.1055908203125","5.125612735748291"
"22","13458","13147","13769","6.1910451635336265","6.174436569213867","6.2069993019104","13458","13147","13769","5.104435492784549","5.099730014801025","5.10813045501709"
"23","14084","13773","14395","6.160343116674667","6.15014123916626","6.174358367919922","14084","13773","14395","5.102742748382764","5.095667839050293","5.106626987457275"
"24","14710","14399","15021","6.138657860266856","6.132165431976318","6.1500396728515625","14710","14399","15021","5.104892671108246","5.09755802154541","5.117284774780273"
"25","15336","15025","15647","6.120626863760826","6.111654758453369","6.132083892822266","15336","15025","15647","5.125685580265828","5.115588665008545","5.142673492431641"
"26","15962","15651","16273","6.096241162373469","6.081265926361084","6.111571311950684","15962","15651","16273","5.13933155628351","5.135013103485107","5.146836280822754"
"27","16588","16277","16899","6.06818599272997","6.062472820281982","6.0811543464660645","16588","16277","16899","5.144186111596914","5.141303539276123","5.149101257324219"
"28","17214","16903","17525","6.057460543436882","6.05281925201416","6.062356948852539","17214","16903","17525","5.153919267348754","5.1485114097595215","5.165007591247559"
"29","17840","17529","18151","6.044428087197817","6.040929317474365","6.054969310760498","17840","17529","18151","5.17616163003139","5.16525411605835","5.186245918273926"
"30","18466","18155","18777","6.038377561630347","6.034600257873535","6.043304443359375","18466","18155","18777","5.19091731768388","5.18079137802124","5.207274436950684"
"31","19092","18781","19403","6.028841258623661","6.024228572845459","6.041018962860107","19092","18781","19403","5.209480479741708","5.2036333084106445","5.214423656463623"
"32","19718","19407","20029","6.021236745210794","6.016756534576416","6.026764869689941","19718","19407","20029","5.226672866405585","5.211287498474121","5.241344928741455"
"33","20344","20033","20655","6.01720297947908","6.015419960021973","6.022768497467041","20344","20033","20655","5.23018002968568","5.22540283203125","5.241082191467285"
"34","20970","20659","21281","6.003827856137202","5.999528884887695","6.0169525146484375","20970","20659","21281","5.225425759951274","5.222178936004639","5.230379581451416"
"35","21596","21285","21907","5.990369468163221","5.988159656524658","5.999480247497559","21596","21285","21907","5.230641398674402","5.226982116699219","5.2330002784729"
"36","22222","21911","22533","5.982422289175865","5.976161956787109","5.988500118255615","22222","21911","22533","5.24731426514112","5.232325553894043","5.268322944641113"
"37","22848","22537","23159","5.964111965436202","5.956967353820801","5.976044178009033","22848","22537","23159","5.266783873240153","5.261146545410156","5.273020267486572"
"38","23474","23163","23785","5.941399696545723","5.936438083648682","5.9568305015563965","23474","23163","23785","5.275669304224161","5.269775390625","5.281281471252441"
"39","24100","23789","24411","5.931633075078328","5.928605556488037","5.938964366912842","24100","23789","24411","5.263314804969689","5.258070945739746","5.271346569061279"
"40","24726","24415","25037","5.931780802897918","5.92618465423584","5.936000823974609","24726","24415","25037","5.262704989848992","5.257648468017578","5.269779682159424"
"41","25352","25041","25663","5.918522440470182","5.914444446563721","5.92609167098999","25352","25041","25663","5.263272053156143","5.259021759033203","5.267831802368164"
"42","25978","25667","26289","5.912427928203192","5.908962249755859","5.916849613189697","25978","25667","26289","5.265931704105475","5.257806301116943","5.273374080657959"
"43","26604","26293","26915","5.903736707491753","5.9006781578063965","5.908937931060791","26604","26293","26915","5.2627789332316475","5.255439281463623","5.272743225097656"
"44","27230","26919","27541","5.903729392932012","5.899343013763428","5.907512664794922","27230","26919","27541","5.2672553429236775","5.258084297180176","5.287951946258545"
